,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,11,12,genres_together,artist_id,artist_followers,artist_popularity
494,Window Seat,Erykah Badu,New Amerykah Part Two: Return Of The Ankh,2010-03-30,0.31731353681737345,0.0,0.691,0.686,0.524,0.00204,0.0766,0.8600918046868707,0.07274678111587983,0.578,0.3964195114880046,4,1cuVNVugfiBag4geicsJZA,2010,afrofuturism,hip hop,neo soul,r&b,soul,urban contemporary,,,,,,,,"afrofuturism,hip hop,neo soul,r&b,soul,urban contemporary",7IfculRW2WXyzNQ8djX8WX,1889279,70
495,Let Me Blow Ya Mind,Eve,Scorpion,2001-01-01,0.23324133632123834,0.56,0.258,0.905,0.544,0.0,0.0618,0.9272541808713392,0.1255364806866953,0.882,0.43500277838177376,4,4YA5g2UpNLmdql8fdrhlwY,2001,dance pop,hip hop,hip pop,philly rap,pop rap,r&b,rap,urban contemporary,,,,,,"dance pop,hip hop,hip pop,philly rap,pop rap,r&b,rap,urban contemporary",4d3yvTptO48nOYTPBcPFZC,749386,69
496,Love Will Tear Us Apart - 2010 Remaster,Joy Division,Substance,2010,0.1973004494549988,0.61,0.000989,0.525,0.902,0.691,0.137,0.8116124875848925,0.03948497854077253,0.907,0.7094779058249379,4,1r8oPEXqnhUVgkUkJNqEuF,2010,alternative rock,art rock,dance rock,madchester,new wave,post-punk,rock,uk post-punk,,,,,,"alternative rock,art rock,dance rock,madchester,new wave,post-punk,rock,uk post-punk",432R46LaYsJZV2Gmc4jUV5,1435848,69
497,Common Threads,Bobby McFerrin,Medicine Music,1990-01-01,0.2708872470140929,0.39,0.949,0.125,0.0874,0.126,0.0979,0.5105360642095939,0.036051502145922745,0.0543,0.258819550143751,4,29Kn3OIyJwrUMf6CzvLgeq,1990,a cappella,,,,,,,,,,,,,a cappella,2FjkZT851ez950cyPjeYid,133353,61
498,Circlesong Six,Bobby McFerrin,Circlesongs,1997,0.5712196490950964,0.35,0.914,0.529,0.377,0.0,0.16,0.7595629882157141,0.0361587982832618,0.357,0.5389384165639873,4,04DJLwJUYNuOynWG3IrIk9,1997,a cappella,,,,,,,,,,,,,a cappella,2FjkZT851ez950cyPjeYid,133353,61
499,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,Yo-Yo Ma Plays Bach,2017-05-12,0.34651471411587675,0.34,0.995,0.147,0.00751,0.84,0.0809,0.16449681904813035,0.04967811158798283,0.11,0.39336087555265636,3,0L9ASDcpRIMqIjo5HIa7Bs,2017,baroque,classical,early music,german baroque,,,,,,,,,,"baroque,classical,early music,german baroque",5aIqB5nVVvmFsvSdExz408,2805059,79
500,No One Real,Tora,Tora,2013-10-07,0.1837321829240947,0.22,0.74,0.743,0.276,0.0182,0.11,0.739135103213164,0.03583690987124463,0.498,0.6713585078881882,4,4WWbgZ3nfWykWRMCVKIADy,2013,alternative r&b,indie r&b,indie soul,vapor soul,,,,,,,,,,"alternative r&b,indie r&b,indie soul,vapor soul",7KGI0OwY8iAL5rI5p47YyK,67033,56
501,Je t'aime moi non plus,Serge Gainsbourg,Comic Strip,1996,0.2875285052060343,0.49,0.389,0.47,0.362,0.000698,0.29,0.7117547580060667,0.032510729613733906,0.377,0.4039960377859921,4,5P0tWr5JZqDoi5wq2OalFH,1996,chanson,french rock,,,,,,,,,,,,"chanson,french rock",01C9OoXDvCKkGcf735Tcfo,340617,61
502,"Anansi, the Oldest of Animals",Harold Courlander,Ashanti: Folk Tales from Ghana,1959-01-01,0.1824911399402889,0.07,0.457,0.713,0.184,0.0,0.378,0.5331382707432958,1.0,0.461,0.6147133434804668,4,76AynlDyMrEn7vgm9V6Ezn,1959,,,,,,,,,,,,,,,3sc0tsvUgHV8VstZVSbK7E,222,12
503,Alagi,Susso,Keira,2016-10-28,0.29315691719281717,0.27,0.398,0.829,0.541,0.612,0.122,0.6944138727082383,0.0927038626609442,0.577,0.49770239907226205,3,3OshzfGHYAh1PlUlqtjeDV,2016,indie jazz,world,,,,,,,,,,,,"indie jazz,world",6eSUQltc7DkN4OiPgOl4VP,11054,35
