,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,streamstotal_weights
33305,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,143014,2018-03-13,33bnxcjePIkcmNjEFTJX0l,2018,9074647,Déjala Que Vuelva (feat. Manuel Turizo),2017-10-20,0.3740938382281668,0.7,0.0482,0.6809999999999999,0.7879999999999999,0.0,0.0753,0.8771831910702561,0.08005211349160395,0.8390000000000001,0.7187297472456254,4,2017-01-01,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano",4bw2Am3p9ji3mYsXNXtQcd,5906616,0.8080808080808081,0.012894029023424363
33364,Te Amo,Piso 21,34076,2018-03-16,2RVrdr062uLFxXwIxwdXPH,2018,3856805,Te Amo,2018-03-15,0.3253874025884109,0.72,0.0204,0.8490000000000001,0.7240000000000001,5.98e-06,0.235,0.8832239001969797,0.06268094962362479,0.63,0.2375810945340113,4,2018-01-01,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano",4bw2Am3p9ji3mYsXNXtQcd,5906616,0.8080808080808081,0.005480076041270608
33422,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,140617,2018-05-11,1j6xOGusnyXq3l6IryKF3G,2018,272077,Ubuntu,2018-05-11,0.3740938382281668,0.71,0.0482,0.6809999999999999,0.7879999999999999,0.0,0.0753,0.8771831910702561,0.08005211349160395,0.8390000000000001,0.7187297472456254,4,2018-01-01,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano",4bw2Am3p9ji3mYsXNXtQcd,5906616,0.8080808080808081,0.0003865901047838258
33424,La Vida Sin Ti,Piso 21,28796,2018-05-11,1RvL7eHoeUolnQbWm2Hnba,2018,74787,Ubuntu,2018-05-11,0.30964768994458536,0.6,0.0449,0.677,0.757,0.0,0.11699999999999999,0.9250820748522652,0.2096120440069485,0.643,0.8129363737798238,4,2018-01-01,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano",4bw2Am3p9ji3mYsXNXtQcd,5906616,0.8080808080808081,0.00010626372007361144
33426,Me llamas (feat. Maluma) - Remix,Piso 21,96480,2017-03-13,5hEM0JchdVzQ5PwvSfITeX,2017,6758963,Me Llamas (feat. Maluma) [Remix],2016-12-02,0.3489790214093941,0.72,0.547,0.76,0.838,1.3e-06,0.0664,0.8934340118187788,0.04299363057324842,0.745,0.204475148826426,4,2016-01-01,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano",4bw2Am3p9ji3mYsXNXtQcd,5906616,0.8080808080808081,0.015967327970281924
33487,Besándote,Piso 21,25180,2017-04-21,13X0XdLMOdtbXVtAj2ox4h,2017,856618,Besándote,2017-04-21,0.2739115160435829,0.6,0.0345,0.7240000000000001,0.809,0.0,0.16899999999999998,0.8562705187130664,0.04748118123914303,0.496,0.21775093371461413,4,2017-01-01,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano",4bw2Am3p9ji3mYsXNXtQcd,5906616,0.8080808080808081,0.0020236685052495425
33509,Baby,Amenazzy,119640,2019-03-13,2IA8cFA46DkjgbsRG7kKbp,2019,6538281,Baby,2018-12-21,0.4147560447112463,0.68,0.327,0.7,0.71,0.0,0.129,0.8603742613263297,0.04342790966994789,0.5820000000000001,0.7050464017745589,4,2018-01-01,dominican pop,latin,latin hip hop,rap dominicano,reggaeton,reggaeton flow,tropical,,,,"dominican pop,latin,latin hip hop,rap dominicano,reggaeton,reggaeton flow,tropical",6kq4GHwUcUojGIu0ziSNXf,957883,0.6767676767676768,0.007011502166646041
33570,París,DELLAFUENTE,111050,2019-03-13,64NRP5zPfcCZJw8Lc61Wgi,2019,4484475,París,2019-02-14,0.3042882895819924,0.59,0.155,0.894,0.6459999999999999,0.0,0.11,0.8084372948128693,0.0956861609727852,0.539,0.3444354617795031,4,2019-01-01,flamenco urbano,trap espanol,,,,,,,,,"flamenco urbano,trap espanol",4bJh7sMPcVRiqe5jlnsWQV,321453,0.696969696969697,0.004809047848933077
33631,Guerrera,DELLAFUENTE,105796,2018-03-13,3Q6zROQvMXRtR9NYfDpNWL,2018,6470177,Guerrera,2017-12-14,0.3448068949070311,0.61,0.165,0.76,0.605,0.0,0.185,0.8181221273801708,0.041690793283149966,0.644,0.3517314643451304,4,2017-01-01,flamenco urbano,trap espanol,,,,,,,,,"flamenco urbano,trap espanol",4bJh7sMPcVRiqe5jlnsWQV,321453,0.696969696969697,0.009193376891100313
33692,Sucker,Jonas Brothers,103420,2019-03-13,4y3OI86AEP6PQoDE6olYhO,2019,3935390,Sucker,2019-03-01,0.2738910015924343,0.18,0.0427,0.8420000000000001,0.7340000000000001,0.0,0.106,0.8528233749179251,0.05153445280833816,0.9520000000000001,0.5045199136773323,4,2019-01-01,boy band,dance pop,pop,pop rock,post-teen pop,,,,,,"boy band,dance pop,pop,pop rock,post-teen pop",7gOdHgIoIKoe4i9Tta6qdD,4440391,0.8383838383838383,0.004220221723660571
