,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
51,Rojo,J Balvin,Rojo,2020-02-27,0.26582694414019714,0.7419354838709677,0.15,0.652,0.595,0.000115,0.0842,0.885248665355437,0.18094814155352773,0.444,0.9096043599607755,4,4uziEsK1yiqdauKVDPsmVG,2020
52,Walk Em Down (feat. Roddy Ricch),NLE Choppa,Walk Em Down (feat. Roddy Ricch),2020-03-19,0.35056086414624016,0.7419354838709677,0.268,0.867,0.744,0.0,0.0713,0.8216914863725766,0.434676162920098,0.645,0.07735535943275244,4,4cSSL3YafYjM3yjgFO1vJg,2020
53,STARGAZING,Travis Scott,ASTROWORLD,2018-08-03,0.7185255127091438,0.7258064516129032,0.00947,0.487,0.789,4.05e-06,0.189,0.9049171115481877,0.027375918094814152,0.0564,0.6996869578335974,4,7wBJfHzpfI3032CSD7CE2m,2018
54,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,0.4154775843184651,0.9354838709677419,0.114,0.823,0.586,0.0,0.193,0.7410508569822984,0.374582684175384,0.347,0.4730519725428076,4,0PvFJmanyNQMseIFrU708S,2020
55,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Hoodie SZN,2018-12-21,0.4117384900101975,0.7419354838709677,0.0153,0.581,0.662,0.0,0.111,0.8178701882551278,0.6038281771644781,0.434,0.16238590933091945,4,1wJRveJZLSb1rjhnUHQiv6,2018
56,Reggaetonera,Anuel AA,Emmanuel,2020-05-29,0.4979491634248593,0.7903225806451613,0.48,0.694,0.796,0.000384,0.108,0.8782804158471481,0.055196973069218794,0.515,0.16277249754846487,4,6yVkakCN460KOVol9ZazjH,2020
57,Break My Heart,Dua Lipa,Future Nostalgia,2020-03-27,0.5338595762359784,0.8387096774193549,0.167,0.73,0.729,1.39e-06,0.349,0.9193031750491711,0.12597373692410418,0.467,0.35087123783661467,4,017PF4Q3l4DBUiWoXk4OWT,2020
58,Mood (feat. Iann Dior),24kGoldn,Mood (feat. Iann Dior),2020-07-24,0.22681950372020998,1.0,0.221,0.7,0.722,0.0,0.272,0.9123349255408824,0.011573558869352334,0.756,0.14320736214829904,4,3tjFYV6RSFtuktYl3ZtYcq,2020
59,Murder On My Mind,YNW Melly,I AM YOU,2018-08-03,0.7099142652113155,0.7419354838709677,0.145,0.759,0.73,3.06e-06,0.11,0.6635571789828604,0.04429111951925217,0.74,0.36967262578260546,4,7eBqSVxrzQZtK2mmgRG6lC,2018
60,MÁS DE UNA CITA,Bad Bunny,LAS QUE NO IBAN A SALIR,2020-05-10,0.38920572572421347,0.6451612903225806,0.0122,0.865,0.5,7.73e-05,0.098,0.5050856982298398,0.12107723124860895,0.317,0.16194274722787957,4,4EJHKSnHENfjOxXWryyNtL,2020
61,Blanco,J Balvin,Blanco,2019-11-15,0.24674245571628206,0.6290322580645161,0.0253,0.87,0.706,0.0063,0.0872,0.8091036808092161,0.20988203872690853,0.593,0.2282944859319605,4,2rc7BkzO8qepMFAxHtOrXc,2019
62,Keii,Anuel AA,Keii,2020-02-07,0.4892170563130264,0.6451612903225806,0.4,0.708,0.797,0.0,0.096,0.9383534700758641,0.01647006454484755,0.51,0.11516557290488043,4,5eEQCfq7MXQr6aHLNRUZLs,2020
63,Jangueo,Alex Rose,LOST,2019-11-08,0.6765494580201684,0.6451612903225806,0.238,0.851,0.688,1.93e-05,0.105,0.8853610564765384,0.055196973069218794,0.732,0.2657181111865429,4,5m3jpKkgkfoMcym1qjToFg,2019
64,ROXANNE,Arizona Zervas,ROXANNE,2019-10-10,0.3141065830721003,0.8387096774193549,0.0522,0.621,0.601,0.0,0.46,0.7966844619275077,0.25884709548186063,0.457,0.38596590480500864,5,696DnlkuDOXcMAnKlTgXXK,2019
65,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2020-02-07,0.30998980247006835,0.8225806451612904,0.207,0.774,0.554,0.0,0.132,0.6678280415847149,0.01468951702648565,0.349,0.21906351361544849,4,6wJYhPfqk3KGhHRG76WzOh,2020
66,Rain On Me (with Ariana Grande),Lady Gaga,Rain On Me (with Ariana Grande),2020-05-22,0.3842202666465234,0.8709677419354839,0.021,0.672,0.855,0.0,0.323,0.9007586400674348,0.017805475183618965,0.646,0.4455664931734178,4,24ySl2hOPGCDcxBxFIqWBu,2020
67,Can't Feel My Face,The Weeknd,Beauty Behind The Madness,2015-08-28,0.5025116138535333,0.6935483870967742,0.113,0.705,0.769,0.0,0.105,0.8017420623770722,0.02403739149788561,0.583,0.3031228784792939,4,22VdIZQfgXJea34mQxlt81,2015
68,Mi Cuarto,Jerry Di,DI LETRA,2020-04-03,0.4423310798051139,0.8387096774193549,0.819,0.854,0.525,0.0,0.146,0.8635571789828604,0.4057422657467171,0.63,0.20039413140227805,4,6fmQjRuo7XvRFCK2qex5hQ,2020
