,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
66,Truth Hurts,Lizzo,Cuz I Love You (Deluxe),2019-05-03,0.24404933445267243,0.7865168539325843,0.11,0.715,0.624,0.0,0.123,0.9730808423913044,0.1893095768374165,0.412,0.6870616113744075,4,5qmq61DAAOUaW8AUo8xKhh,2019
67,Murder On My Mind,YNW Melly,I AM YOU,2018-08-03,0.6412852351656246,0.898876404494382,0.145,0.759,0.73,3.06e-06,0.11,0.5536684782608696,0.05033407572383074,0.74,0.3467772511848341,4,7eBqSVxrzQZtK2mmgRG6lC,2018
68,Taste (feat. Offset),Tyga,Legendary,2019-06-07,0.4774607709239142,0.7865168539325843,0.0293,0.866,0.613,0.0,0.104,0.689538043478261,0.2717149220489978,0.359,0.21244865718799366,4,2toVe5hfuIi97ytDPDbQFt,2019
69,lovely (with Khalid),Billie Eilish,lovely (with Khalid),2018-04-19,0.3562338416302255,0.9662921348314607,0.934,0.351,0.296,0.0,0.095,0.3733016304347827,0.009576837416481073,0.12,0.3489652448657188,4,0u2P5u6lvoDfwTYjAADbn4,2018
70,Bohemian Rhapsody - 2011 Mix,Queen,A Night At The Opera (2011 Remaster),1975-11-21,1.0,0.9101123595505618,0.271,0.414,0.404,0.0,0.3,0.388671875,0.04654788418708241,0.224,0.0,4,4u7EnebtmKWzUH433cf5Qv,1975
71,ZEZE (feat. Travis Scott & Offset),Kodak Black,Dying to Live,2018-12-14,0.4755771070096522,0.8764044943820225,0.0521,0.861,0.603,0.0,0.0924,0.7402343750000001,0.3273942093541203,0.504,0.21278041074249607,4,0FZ4Dmg8jJJAPJnvBIzD9z,2018
72,2002,Anne-Marie,Speak Your Mind (Deluxe),2018-04-27,0.30110639150972945,0.898876404494382,0.0372,0.697,0.683,0.0,0.137,0.9870923913043479,0.19599109131403122,0.603,0.19769352290679296,4,2BgEsaKNfHUdlh97KmvFyo,2018
73,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-12-10,0.5218375538264273,0.9775280898876404,0.349,0.511,0.566,0.0,0.34,0.6177819293478262,0.3808463251670379,0.218,0.10109004739336494,4,285pBltuF7vW8TeWk8hdRR,2018
74,Disaster (feat. J Hus),Dave,PSYCHODRAMA,2019-03-08,0.5231949613034453,0.7191011235955056,0.619,0.727,0.761,0.0,0.077,0.7488960597826088,0.9064587973273942,0.706,0.15800157977883095,4,3rqmxZNh2BRgJ3BiCPFTSG,2019
75,rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,2018-04-27,0.431250443767829,0.9438202247191011,0.124,0.585,0.52,7.01e-05,0.131,0.7106827445652174,0.09398663697104678,0.129,0.700600315955766,4,0e7ipj03S05BNilyu5bRzt,2018
76,Panini,Lil Nas X,Panini,2019-09-13,0.0,0.8202247191011236,0.342,0.703,0.594,0.0,0.123,0.7098335597826089,0.10289532293986639,0.475,0.6535781990521328,4,1000nHvUdawXuUHgBod4Wv,2019
77,What I Like About You (feat. Theresa Rex),Jonas Blue,What I Like About You (feat. Theresa Rex),2019-03-22,0.44064788014718476,0.8314606741573034,0.289,0.46,0.8,6.16e-06,0.121,0.9273947010869567,0.046770601336302904,0.553,0.2476698262243285,4,4NSW0Km5ZG60L8FthUebPJ,2019
78,Better,Khalid,Suncity,2018-10-18,0.4779202011469049,0.8426966292134831,0.0765,0.596,0.552,0.334,0.104,0.3589504076086957,0.15144766146993321,0.112,0.21203791469194308,4,6zeeWid2sgw4lap2jV61PZ,2018
79,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,0.20428356033362988,0.8764044943820225,0.179,0.661,0.723,1.23e-05,0.14,0.639351222826087,0.06146993318485523,0.316,0.3370695102685624,4,7Feaw9WAEREY0DUOSXJLOM,2019
80,Guten Tag,Hardy Caprio,Guten Tag,2019-05-02,0.21601573757345663,0.7191011235955056,0.309,0.808,0.574,0.0,0.18,0.5076426630434784,0.6815144766146994,0.632,0.5521958925750394,4,0SErNy2An0gCpYFRUNWwNT,2019
81,Your Mrs,JAY1,One Wave,2019-07-05,0.24407439428301736,0.6629213483146067,0.612,0.852,0.668,4.58e-06,0.0634,0.5642832880434783,0.9443207126948776,0.588,0.5744628751974722,4,5gDQm47YjTJkdkTnfNFRMC,2019
82,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,Lover,2019-08-23,0.3262246947921496,0.8876404494382022,0.033,0.61,0.83,0.0,0.118,0.8831521739130436,0.06258351893095768,0.728,0.8772274881516587,4,2Rk4JlNc2TPmZe2af99d45,2019
83,This Is Me,Keala Settle,This Is Me,2017-10-27,0.500415575519887,0.7303370786516854,0.00583,0.284,0.704,0.000115,0.0424,0.6138756793478262,0.3496659242761693,0.1,0.9525829383886255,4,2xGjteMU3E1tkEPVFBO08U,2017
84,So Am I,Ava Max,So Am I,2019-03-07,0.2845669034820634,0.8651685393258427,0.0737,0.682,0.656,0.0,0.353,0.8351732336956522,0.03229398663697104,0.607,0.465908372827804,4,0uUNN1nSoUx1A4fkDCWDQ7,2019
85,Thiago Silva,Dave,Thiago Silva,2016-05-13,0.3636599046891119,0.7752808988764045,0.0641,0.667,0.673,4e-06,0.0975,0.588569972826087,0.6547884187082406,0.669,0.5778120063191152,4,3DKCTIiJ97bS9TGiqcABjo,2016
86,Kitchen Kings,D-Block Europe,Home Alone,2019-02-15,0.32215247236109545,0.7191011235955056,0.504,0.652,0.727,0.0,0.469,0.7242697010869565,0.06503340757238309,0.165,0.5816192733017377,4,1RJHieKAxYz9qbREvOR5eA,2019
87,Paradise,George Ezra,Staying at Tamara's,2018-03-23,0.44753098021526394,0.7865168539325843,0.209,0.642,0.881,0.0,0.21,0.9313858695652174,0.02293986636971047,0.913,0.5286334913112164,4,38zwkK6TtTjIW9tpYBfZ3D,2018
88,Don’t Feel Like Crying,Sigrid,Sucker Punch,2019-03-08,0.17590747910636645,0.6292134831460674,0.156,0.749,0.814,0.0,0.0673,0.9116847826086957,0.025389755011135853,0.715,0.3859320695102685,4,1ABvDz0JnQGO8M8NYjRNMp,2019
89,Butterflies (feat. Not3s),AJ Tracey,AJ Tracey,2019-02-08,0.4557004849077172,0.7078651685393258,0.259,0.761,0.685,2.92e-06,0.115,0.3998811141304349,0.2138084632516704,0.596,0.259431279620853,4,4hGsbyf3p0U5mlJTJwiUTq,2019
90,Play (with Years & Years),Jax Jones,Snacks,2019-07-12,0.29932714355523815,0.6404494382022472,0.0276,0.767,0.788,2.13e-05,0.391,0.5763417119565218,0.034298440979955463,0.591,0.42599526066350707,4,6CXh0RBouuXSUyIKzwYswZ,2019
91,Walk Me Home,P!nk,Hurts 2B Human,2019-04-25,0.26102736951137506,0.7303370786516854,0.0519,0.652,0.453,0.0,0.179,0.7121263586956522,0.034521158129175944,0.432,0.13375197472353864,3,6jfEZdUJ2Yla6h7gTJgKuo,2019
92,SAD!,XXXTENTACION,?,2018-03-16,0.21598232446633003,0.9438202247191011,0.258,0.74,0.613,0.00372,0.123,0.8173403532608696,0.2583518930957684,0.473,0.030947867298578135,4,3ee8Jmje8o58CHK66QrVC2,2018
93,Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack,2019-06-15,0.37812360343653806,0.9101123595505618,0.101,0.831,0.502,0.0,0.122,0.8882472826086958,0.0378619153674833,0.101,0.23251184834123215,4,5ry2OE6R2zPQFDO85XkgRb,2019
94,Outnumbered,Dermot Kennedy,Without Fear,2019-10-04,0.5463293613502237,0.7528089887640449,0.247,0.614,0.684,0.0,0.0976,0.7400645380434783,0.2850779510022272,0.258,0.6772906793048972,4,4Ta3PhWmY50ZLU1uhKFKPE,2019
95,Good as Hell,Lizzo,Good as Hell,2016-03-09,0.18728881872136394,0.7752808988764045,0.256,0.682,0.919,0.0,0.442,0.9617017663043479,0.13028953229398665,0.535,0.19650078988941544,4,3Yh9lZcWyKrK9GjbhuS0hR,2016
96,Post Malone (feat. RANI),Sam Feldt,Magnets EP,2019-05-24,0.24872299281200533,0.8876404494382022,0.0771,0.59,0.642,0.0,0.105,0.903108016304348,0.2071269487750557,0.651,0.286342812006319,4,0qc4QlcCxVTGyShurEv1UU,2019
97,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),2018-04-06,0.4174675370781073,0.9101123595505618,0.037,0.791,0.862,2.19e-05,0.0814,0.9566066576086957,0.1804008908685969,0.592,0.4177646129541864,4,7ef4DlsgrMEH11cDZd32M6,2018
98,Crown,Stormzy,Crown,2019-06-21,0.41169124618359665,0.6404494382022472,0.701,0.542,0.581,1.02e-06,0.0741,0.748811141304348,0.289532293986637,0.0857,0.298609794628752,4,1hxE8xAp7CrBsdpiRpiWFy,2019
99,Be Alright,Dean Lewis,A Place We Knew,2019-03-22,0.34081369269130046,0.8426966292134831,0.705,0.551,0.537,0.0,0.0802,0.5867866847826088,0.011135857461024502,0.493,0.4369352290679305,4,5qrSlOut2rNAWv3ubArkNy,2019
