,Position,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,artist_id,artist_followers,artist_popularity
26,18,Ignorantes,Bad Bunny,164437,2020-04-09,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
27,21,Ignorantes,Bad Bunny,152450,2020-04-10,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
28,21,Ignorantes,Bad Bunny,153033,2020-04-11,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
29,22,Ignorantes,Bad Bunny,141849,2020-04-12,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
30,22,Ignorantes,Bad Bunny,142576,2020-04-13,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
31,24,Ignorantes,Bad Bunny,146753,2020-04-14,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
32,23,Ignorantes,Bad Bunny,143253,2020-04-15,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
33,25,Ignorantes,Bad Bunny,144321,2020-04-16,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
34,27,Ignorantes,Bad Bunny,143058,2020-04-17,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
35,28,Ignorantes,Bad Bunny,138160,2020-04-18,38RIEav39FGi86jppxO0du,2020,10423435,YHLQMDLG,2020-02-28,210606,80,0.267,0.85,0.536,3.89e-05,0.0996,-5.161,0.0599,0.505,96.029,4,latin,reggaeton,trap latino,,,,,,4q3ewBCX7sLwd24euuV69X,23321081,97
