,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,streamstotal_weights,genre_depurated,genre_depurated_final
1423,Bad and Boujee (feat. Lil Uzi Vert),Migos,15633,2017-03-13,4Km5HrUvYTaSUfiSGPJeQR,2017,33536,Culture,2017-01-27,0.6895907110565199,0.77,0.061,0.927,0.665,0.0,0.123,0.8446815495732108,0.31962941517081644,0.175,0.4318137782202297,4,2017-01-01,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,,,,,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",6oMuImdp5ZcFhWP0ESe6mG,10746002,0.8484848484848485,7.922521706530642e-05,atl hip hop,hip hop
1424,Nadie ha dicho,Laura Pausini,22415,2018-03-20,2rNymvxE1VQxsPcCaQrOFj,2018,22415,Hazte sentir,2018-03-15,0.3437427077536933,0.5,0.563,0.516,0.573,0.0,0.102,0.8355548260013131,0.021858714533873773,0.139,0.45018072973388296,4,2018-01-01,europop,italian pop,latin,latin arena pop,latin pop,mexican pop,spanish pop,,,,"europop,italian pop,latin,latin arena pop,latin pop,mexican pop,spanish pop",2e4nwiX8ZCU09LGLOpeqTH,1519013,0.7373737373737373,3.184913535039513e-05,europop,pop
1425,I'm Yours,Jason Mraz,20665,2018-03-22,3S0OXQeoh0w6AY8WQVckRW,2018,833286,We Sing. We Dance. We Steal Things.,2008-05-01,0.4306880803345907,0.73,0.595,0.6859999999999999,0.457,0.0,0.105,0.7458962573867368,0.03416328894035901,0.718,0.5913436804725031,4,2008-01-01,acoustic pop,neo mellow,pop,pop rock,viral pop,,,,,,"acoustic pop,neo mellow,pop,pop rock,viral pop",4phGZZrJZRo4ElhRtViYdl,5518093,0.797979797979798,0.0011840035065620947,acoustic pop,pop
1426,Soy Como Snapchat,Yulien Oviedo,22681,2018-03-24,3hqZCIUJIIkiv7hBqmh6ln,2018,1015139,Soy Como Snapchat,2018-03-23,0.4479894555721096,0.35,0.303,0.6890000000000001,0.7659999999999999,0.0,0.446,0.8843729481286934,0.1893456861609728,0.767,0.7861710017304622,4,2018-01-01,cubaton,,,,,,,,,,cubaton,0AglxiiP1X55pczgFkgdC4,12496,0.3838383838383838,0.0014423956908527664,cubaton,reggaeton
1427,Freaky Friday (feat. Chris Brown),Lil Dicky,20874,2018-03-24,10Igtw8bSDyyFs7KIsKngZ,2018,1086225,Freaky Friday (feat. Chris Brown),2018-03-15,0.36515723044652265,0.77,0.147,0.755,0.599,0.0,0.109,0.8535784635587655,0.2906774753908512,0.755,0.4722157264934422,4,2018-01-01,comedy rap,pop rap,rap,,,,,,,,"comedy rap,pop rap,rap",1tqhsYv8yBBdwANFNzHtcr,1697022,0.7171717171717171,0.0015434007158591544,comedy rap,hip hop
1428,Mi Casa,Cruz Cafuné,21124,2018-03-26,3sdbjDa8Rvmfn8k7pz7znc,2018,393347,Pa'l Coche,2017-02-09,0.235613600055389,0.58,0.138,0.888,0.563,8.13e-06,0.116,0.7751149047931714,0.17197452229299362,0.444,0.2474427243754635,4,2017-01-01,rap espanol,trap espanol,,,,,,,,,"rap espanol,trap espanol",0jeYkqwckGJoHQhhXwgzk3,124862,0.6666666666666666,0.000558900818321297,rap espanol,hip hop
1429,1950,King Princess,23655,2018-03-28,0CZ8lquoTX2Dkg7Ak2inwA,2018,594822,1950,2018-02-23,0.3869589634047835,0.78,0.648,0.6,0.535,4.7e-06,0.162,0.7878857518056468,0.12130862767805445,0.269,0.06324538487749802,4,2018-01-01,dance pop,electropop,indie pop,nyc pop,pop,,,,,,"dance pop,electropop,indie pop,nyc pop,pop",6beUvFUlKliUYJdLOXNj9C,864016,0.7171717171717171,0.0008451736063971773,dance pop,dance
1430,Nevermind,Dennis Lloyd,21809,2018-03-28,63SevszngYpZOwf63o61K4,2018,1464771,Nevermind,2017-06-30,0.21121935333321368,0.8,0.159,0.6,0.688,1.29e-05,0.409,0.7453381483913329,0.2573827446438912,0.0793,0.2507566596067375,4,2017-01-01,israeli pop,,,,,,,,,,israeli pop,3EOEK57CV77D4ovYVcmiyt,461592,0.7474747474747475,0.0020812710165663004,israeli pop,pop
1431,Plug Walk,Rich The Kid,20890,2018-04-05,6mAz8D1TmlTuef90dbNIiZ,2018,61412,The World Is Yours,2018-03-30,0.2589898171393111,0.02,0.202,0.8759999999999999,0.519,0.0,0.108,0.8046946815495732,0.1734221192819919,0.158,0.2173767797368896,4,2018-01-01,atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap,vapor trap,,,"atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap,vapor trap",1pPmIToKXyGdsCF6LmqLmI,2283689,0.7878787878787878,8.725938434702054e-05,atl hip hop,hip hop
1432,Silencio,Yashua,31793,2018-04-06,6HIDzhDB9LvtwLIUsMmn3v,2018,31793,Silencio,2018-04-06,0.28931017593706165,0.0,0.0753,0.78,0.727,0.0,0.12,0.8759028233749179,0.05746960046323104,0.6579999999999999,0.2644333237567732,4,2018-01-01,r&b en espanol,,,,,,,,,,r&b en espanol,4zTLrRqcBmj7ZDuLUrKBL1,27355,0.404040404040404,4.517419407517789e-05,r&b en espanol,hip hop
