,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,release_date_year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genres_together,artist_id,artist_followers,artist_popularity,Period,streamstotal_weights
819,Mejor Que Tú,Aitana,76027,2019-01-08,7Kn8yBD9hk8zJtgMQQrTKV,2019,2867844,Tráiler,2018-11-29,0.3478978411553383,0.43157894736842106,0.102,0.688,0.7509999999999999,3.29e-06,0.475,0.8630177417768012,0.5073891625615763,0.555,0.7832496663913071,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.003304914306706473
878,Lo Malo - Operación Triunfo 2017,Aitana,67718,2019-01-08,7aJP1XcWcSU9w0eqSvaeZR,2019,3141848,Lo Malo (Operación Triunfo 2017),2018-01-28,0.3274239764263539,0.5578947368421052,0.648,0.7659999999999999,0.737,0.0,0.349,0.9299183419145376,0.07616521409624857,0.9640000000000001,0.2558556268666201,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0036206775559260267
939,TELÉFONO - Remix,Aitana,34925,2019-01-08,5GYM4rUDvbT9ov3eS1YMll,2019,242210,TELÉFONO (Remix),2018-11-21,0.281467803890991,0.5789473684210527,0.201,0.672,0.8859999999999999,4.79e-05,0.10400000000000001,0.911947004230479,0.08563849943160289,0.667,0.7450467052170046,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0002791237229875038
946,Chas! Y Aparezco A Tu Lado - Operación Triunfo 2017,Aitana,35360,2018-01-08,4WmjtI7srDRXNcrWmzKY6b,2018,1196744,Chas! Y Aparezco A Tu Lado (Operación Triunfo 2017),2018-01-02,0.215709864288892,0.29473684210526313,0.0524,0.665,0.9420000000000001,1.09e-05,0.307,0.9290656872069,0.02425161045850701,0.924,0.4656351274067484,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0016421245040795153
993,Con Las Ganas - Operación Triunfo 2017,Aitana,28382,2018-01-08,0tGLDookcmxxCTWvNozEQ1,2018,1886850,Con Las Ganas (Operación Triunfo 2017),2017-11-21,0.3012528283113367,0.3157894736842105,0.887,0.519,0.24600000000000002,0.0,0.0701,0.7399403141704654,0.017999242137173174,0.317,0.4985766029103387,4,2017-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0025890605012621193
1054,Chasing Pavements - Operación Triunfo 2017,Aitana,20765,2018-01-08,2NVGEMT5nmKgJpRE8tUGAy,2018,106559,Chasing Pavements (Operación Triunfo 2017),2017-12-19,0.2224834606571728,0.0,0.675,0.5820000000000001,0.639,0.0,0.136,0.8777096382776375,0.02178855627131489,0.387,0.16011310923301775,4,2017-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.00014621602032699482
1059,Issues - Operación Triunfo 2017,Aitana,19468,2018-01-08,65K1Am9NgJvzy3Sren1ffb,2018,1196405,Issues (Operación Triunfo 2017),2017-11-14,0.25132625677479226,0.0,0.34,0.897,0.51,0.0,0.184,0.8349785196602499,0.1568776051534672,0.37,0.3769206329033488,4,2017-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.001641659341766704
1105,Cheap Thrills - Operación Triunfo 2017,Aitana,37065,2018-01-09,3KjjADr3pdgFKj4nNCSJHt,2018,251552,Cheap Thrills (Operación Triunfo 2017),2018-01-09,0.2943357235454228,0.0,0.28800000000000003,0.535,0.81,2.56e-06,0.418,0.8679369035516348,0.1852974611595301,0.8029999999999999,0.7959903412340344,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0003451696463489353
1114,Procuro Olvidarte,Aitana,80358,2018-01-16,4MzCvwR54nOrGeyBaHfsLG,2018,1944683,Procuro Olvidarte (Operación Triunfo 2017),2018-01-15,0.3642458394523719,0.0,0.9620000000000001,0.457,0.26,5.52e-06,0.14300000000000002,0.7106549044042895,0.02425161045850701,0.0912,0.4506703946114253,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.002668416642963628
1166,Instruction - Operación Triunfo 2017,Aitana,55532,2018-01-23,2ZHB7QLvFfeITebjw0qETf,2018,804931,Instruction (Operación Triunfo 2017),2018-01-22,0.25582285323396176,0.0,0.0883,0.8909999999999999,0.8240000000000001,0.0,0.0672,0.8265503558193683,0.35771125426297834,0.851,0.3971722691745568,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0011044942938449897
1193,Valerie - Operación Triunfo 2017,Aitana,37397,2018-01-23,4JTDH72zOY0bXyr6YWFoLQ,2018,109230,Valerie (Operación Triunfo 2017),2018-01-22,0.22891263687113425,0.0,0.00932,0.79,0.887,4.74e-05,0.196,0.918505886596924,0.11197423266388784,0.836,0.33200737116350004,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.00014988106026067854
1197,Lo Malo - Operación Triunfo 2017,Aitana,213701,2018-01-29,0Ur4DvUsF7GedvPygHtaRv,2018,9328081,Lo Malo (Operación Triunfo 2017),2018-01-28,0.3274239764263539,0.0,0.638,0.763,0.746,0.0,0.33799999999999997,0.9318532122126391,0.0867752936718454,0.966,0.25588104467179257,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.012799621628467366
1237,Arde - Operación Triunfo 2017,Aitana,174261,2018-01-29,49jhcLhfG1EtNpeVpso7NE,2018,3544086,Arde (Operación Triunfo 2017),2018-01-28,0.3159074275163002,0.0,0.912,0.391,0.27699999999999997,1.4000000000000001e-05,0.32299999999999995,0.7642737677499754,0.050966275104206135,0.266,0.6788841583529261,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.004863053806967199
1277,Chandelier - Operación Triunfo 2017,Aitana,46873,2018-02-05,4I1Bq7lFajrX1Yg7fGMuc9,2018,1081754,Chandelier (Operación Triunfo 2017),2018-02-05,0.3492037675737992,0.0,0.9309999999999999,0.594,0.299,0.0,0.11599999999999999,0.8308464237693897,0.03164077302008336,0.23800000000000002,0.1407193238863824,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0014843398009816904
1309,Bang Bang - Operación Triunfo 2017,Aitana,32092,2018-02-05,5mRabxurkx5pMaOznEhfJ8,2018,302796,Bang Bang (Operación Triunfo 2017),2018-02-05,0.12858352427922906,0.0,0.272,0.789,0.636,6.500000000000001e-05,0.0332,0.7941494769291313,0.12372110647972714,0.863,0.6063862235495965,4,2018-01-01,latin pop,latin talent show,spanish pop,,,,,,,,"latin pop,latin talent show,spanish pop",7eLcDZDYHXZCebtQmVFL25,1135957,0.7676767676767676,NormalPeriod,0.0004154846243952432
1319,Dance Monkey,Tones And I,267051,2020-01-08,1rgnBhdG2JDFTbYkYRZAku,2020,14597091,Dance Monkey,2019-05-10,0.39141437093093895,0.7578947368421053,0.688,0.825,0.593,0.000161,0.17,0.8080871019578264,0.143236074270557,0.54,0.2753447289826524,4,2019-01-01,australian pop,pop,,,,,,,,,"australian pop,pop",2NjfBq1NflQcKSeiDooVjY,1985262,0.8383838383838383,NormalPeriod,0.012685796417859684
1381,Indeciso,Reik,225864,2020-01-08,59s0s39NFWScuHDbHytI14,2020,12730075,Indeciso,2019-08-23,0.4093505288284453,0.8315789473684211,0.182,0.738,0.748,0.0,0.11,0.8572459252943299,0.041871921182266014,0.8959999999999999,0.255461650886446,4,2019-01-01,latin,latin arena pop,latin pop,mexican pop,,,,,,,"latin,latin arena pop,latin pop,mexican pop",0vR2qb8m9WHeZ5ByCbimq2,4557323,0.8585858585858586,NormalPeriod,0.011063241287876132
1443,Aleluya,Reik,34754,2020-01-08,23CsjGOYDQiJpX44BSn9TM,2020,1019416,Ahora,2019-05-31,0.26877687792697336,0.7894736842105263,0.0478,0.81,0.716,0.0,0.0678,0.942576984881776,0.08753315649867374,0.6890000000000001,0.26232445828302725,4,2019-01-01,latin,latin arena pop,latin pop,mexican pop,,,,,,,"latin,latin arena pop,latin pop,mexican pop",0vR2qb8m9WHeZ5ByCbimq2,4557323,0.8585858585858586,NormalPeriod,0.0008859370569868234
1472,Si Me Dices Que Sí,Reik,50155,2020-02-21,56Ta1O7Jxxpjnc6cWdDKUo,2020,50155,Si Me Dices Que Sí,2020-02-18,0.3959516281027711,0.8842105263157894,0.00473,0.578,0.634,0.0,0.132,0.8219263437510248,0.5869647593785524,0.21600000000000003,0.8206329033487957,4,2020-01-01,latin,latin arena pop,latin pop,mexican pop,,,,,,,"latin,latin arena pop,latin pop,mexican pop",0vR2qb8m9WHeZ5ByCbimq2,4557323,0.8585858585858586,NormalPeriod,4.358787099003167e-05
1473,Me Niego (feat. Ozuna & Wisin),Reik,59155,2019-01-08,6jA8JUuPCGYjFcgw0AoM5T,2019,5912663,Me Niego (feat. Ozuna & Wisin),2018-02-16,0.4198744779882036,0.08421052631578947,0.0543,0.777,0.779,0.0,0.636,0.8721017938543273,0.14020462296324362,0.768,0.2495774289890068,4,2018-01-01,latin,latin arena pop,latin pop,mexican pop,,,,,,,"latin,latin arena pop,latin pop,mexican pop",0vR2qb8m9WHeZ5ByCbimq2,4557323,0.8585858585858586,NormalPeriod,0.006813775274887342
1556,Amigos Con Derechos,Reik,57938,2019-01-08,2zDj4WjbNDmrRL6Z4YjjCA,2019,2667225,Amigos Con Derechos,2018-08-31,0.4338019679784929,0.07368421052631577,0.0481,0.6859999999999999,0.807,0.0,0.0652,0.9089955071655792,0.07218643425539976,0.63,0.8211476139035393,4,2018-01-01,latin,latin arena pop,latin pop,mexican pop,,,,,,,"latin,latin arena pop,latin pop,mexican pop",0vR2qb8m9WHeZ5ByCbimq2,4557323,0.8585858585858586,NormalPeriod,0.0030737202099225666
