,year_month,feature_media_month,features
33,2019-10-01,0.24238263967631812,acousticness
34,2019-11-01,0.23180997539633938,acousticness
35,2019-12-01,0.2412315905116523,acousticness
36,2020-01-01,0.23930048081573702,acousticness
37,2020-02-01,0.24239595195038424,acousticness
38,2020-03-01,0.21777610938663433,acousticness
39,2020-04-01,0.2101893660157619,acousticness
40,2020-05-01,0.2142392480238477,acousticness
41,2020-06-01,0.23624676472556494,acousticness
42,2020-07-01,0.22682084027237576,acousticness
43,2020-08-01,0.23309192299258003,acousticness
44,2020-09-01,0.22708919544384656,acousticness
45,2020-10-01,0.23286257846936,acousticness
46,2020-11-01,0.24694278295881686,acousticness
47,2020-12-01,0.2414130554496355,acousticness
0,2017-01-01,0.6909392644278998,danceability
1,2017-02-01,0.6911668547619967,danceability
2,2017-03-01,0.6947618064574763,danceability
