,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,genres_together,artist_id,Artist,artist_followers,artist_popularity
334,album rock,classic rock,hard rock,rock,,,,,,,,"album rock,classic rock,hard rock,rock",7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,9665402,0.8
335,trap chileno,trap latino,,,,,,,,,,"trap chileno,trap latino",2zfwez4uxbP8NcFy3kaNLF,Kiddtetoon,36617,0.63
336,dance pop,electropop,pop,post-teen pop,,,,,,,,"dance pop,electropop,pop,post-teen pop",4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,3999963,0.81
337,brostep,dance pop,edm,electro house,electronic trap,electropop,moombahton,pop,pop dance,slap house,tropical house,"brostep,dance pop,edm,electro house,electronic trap,electropop,moombahton,pop,pop dance,slap house,tropical house",5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis,1026464,0.69
338,argentine hip hop,pop venezolano,trap argentino,trap latino,,,,,,,,"argentine hip hop,pop venezolano,trap argentino,trap latino",716NhGYqD1jl2wI1Qkgq36,Bizarrap,1904104,0.83
339,argentine hip hop,r&b argentino,trap argentino,trap latino,,,,,,,,"argentine hip hop,r&b argentino,trap argentino,trap latino",2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,1070715,0.76
340,latin viral pop,,,,,,,,,,,latin viral pop,0ndVqPlOidgsJ4yB3Fc5ec,Adexe & Nau,477647,0.56
341,latin,latin hip hop,perreo,reggaeton,reggaeton flow,trap latino,tropical,,,,,"latin,latin hip hop,perreo,reggaeton,reggaeton flow,trap latino,tropical",2OHKEe204spO7G7NcbeO2o,Ñejo,2134423,0.71
342,hip hop,indie pop rap,oakland hip hop,pop rap,rap,,,,,,,"hip hop,indie pop rap,oakland hip hop,pop rap,rap",02kJSzxNuaWGqwubyUba0Z,G-Eazy,4741586,0.84
343,,,,,,,,,,,,,1nbrjOvQRh3w167UZjjMv4,Sergio Ramos,9477,0.33
344,reggaeton,reggaeton flow,trap latino,,,,,,,,,"reggaeton,reggaeton flow,trap latino",7LXdYckhvHWU4ejXbkHa3N,Pepe Quintana,679324,0.56
345,cali rap,,,,,,,,,,,cali rap,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,734394,0.88
346,electropop,hopebeat,indie cafe pop,indie pop,indie poptimism,modern alternative rock,modern rock,pop,pop rock,,,"electropop,hopebeat,indie cafe pop,indie pop,indie poptimism,modern alternative rock,modern rock,pop,pop rock",6d4jrmreCmsenscuieJERc,The Band CAMINO,216633,0.68
347,cantautor,latin,latin pop,mexican pop,musica canaria,nueva cancion,spanish pop,,,,,"cantautor,latin,latin pop,mexican pop,musica canaria,nueva cancion,spanish pop",5ttV0N9HvMH3KLqNKcS2M0,Rosana,560592,0.66
348,australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop dance,,,"australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop dance",4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,1204471,0.77
349,corrido,mexican hip hop,nuevo regional mexicano,,,,,,,,,"corrido,mexican hip hop,nuevo regional mexicano",0rJ0xlAQI0wLRucDRoQQbO,El Makabelico,223802,0.68
350,spanish pop,,,,,,,,,,,spanish pop,4sbKCRFKQ8sAUn1pWR5iKZ,Bombai,27348,0.54
351,,,,,,,,,,,,,4ddpUBaEuXw2nwwdj3SqNe,selecta remo,85,0.28
352,pop rap,,,,,,,,,,,pop rap,50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1169891,0.75
353,cubaton,latin,tropical,,,,,,,,,"cubaton,latin,tropical",4fCRFHEQgjqakvFgQCliMp,Jacob Forever,134964,0.61
354,trap latino,urbano espanol,,,,,,,,,,"trap latino,urbano espanol",4nXXIxTneJksvGXrlmX8oA,Kaydy Cain,231528,0.66
355,trap latino,,,,,,,,,,,trap latino,0qTZZWLzuD59Un5r1speHm,Chris Jeday,1464700,0.54
356,,,,,,,,,,,,,7anaIRdaCuExhv9NcLxIrq,Ariadna,18,0.09
357,aussietronica,indie soul,,,,,,,,,,"aussietronica,indie soul",3oKRxpszQKUjjaHz388fVA,Parcels,373541,0.67
358,pop rap,seattle hip hop,,,,,,,,,,"pop rap,seattle hip hop",3JhNCzhSMTxs9WLGJJxWOY,Macklemore,1669493,0.79
359,latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical,,,,,,"latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical",1pf0MPKfKdvS8J779mS1Ay,Miky Woodz,1661172,0.78
360,dance pop,indie cafe pop,indie poptimism,pop,post-teen pop,social media pop,,,,,,"dance pop,indie cafe pop,indie poptimism,pop,post-teen pop,social media pop",0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,1334445,0.73
361,latin arena pop,pop flamenco,spanish pop,,,,,,,,,"latin arena pop,pop flamenco,spanish pop",6FOpWOxsjQxKEbLiJpU1xV,India Martinez,648432,0.68
362,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,trap latino,tropical,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,trap latino,tropical",0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,6832941,0.86
363,canadian pop,pop,post-teen pop,viral pop,,,,,,,,"canadian pop,pop,post-teen pop,viral pop",7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,31185039,0.91
364,pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary,,,,,"pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary",2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,2761324,0.81
365,pop rap,rap,trap,,,,,,,,,"pop rap,rap,trap",6MPCFvOQv5cIGfw3jODMF0,Internet Money,216368,0.85
366,baroque pop,emo,modern rock,,,,,,,,,"baroque pop,emo,modern rock",20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,10394536,0.84
367,detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap,,,,,,"detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap",0c173mlxpT3dSFRgMO8XPh,Big Sean,8095698,0.86
368,reggaeton,reggaeton colombiano,trap latino,,,,,,,,,"reggaeton,reggaeton colombiano,trap latino",1r4hJ1h58CWwUQe3MxPuau,Maluma,23614911,0.92
369,spanish hip hop,spanish reggae,,,,,,,,,,"spanish hip hop,spanish reggae",2KaaIknCVW5SstugreNkha,Alberto gambino,38117,0.47
370,latin,latin hip hop,reggaeton,trap latino,tropical,,,,,,,"latin,latin hip hop,reggaeton,trap latino,tropical",4SsVbpTthjScTS7U2hmr1X,Arcangel,5983054,0.87
371,k-pop,k-pop boy group,,,,,,,,,,"k-pop,k-pop boy group",3Nrfpe0tUJi4K4DXYWgMUX,BTS,28430165,0.97
372,swedish pop,,,,,,,,,,,swedish pop,7jEEE187pVG6InOxn03oA5,Benjamin Ingrosso,108669,0.69
373,electro house,,,,,,,,,,,electro house,4ON1ruy5ijE7ZPQthbrkgI,Burak Yeter,119886,0.64
374,,,,,,,,,,,,,0svViMOghOmkNJQAvf1iRe,Imix Children's Choir,131,0.21
375,eurovision,,,,,,,,,,,eurovision,3FNauFXOs09Shm47H71Nsg,Elina Nechayeva,3921,0.27
376,rap espanol,urbano espanol,,,,,,,,,,"rap espanol,urbano espanol",5lWasZeo8uWQk6GD8czJLq,Sen Senra,52483,0.61
377,,,,,,,,,,,,,4hadtPX6kKntrnA87Zdy01,Scott Storch,7772,0.57
378,cantautor,indie catala,mestissatge,musica catalana,rock catala,,,,,,,"cantautor,indie catala,mestissatge,musica catalana,rock catala",6XYRpcgPIK9OejoVzA7PbC,Txarango,253435,0.59
379,flamenco,pop flamenco,rumba,sevillanas,spanish pop,villancicos,,,,,,"flamenco,pop flamenco,rumba,sevillanas,spanish pop,villancicos",6B0tiYh9aXjEkmNp6LhGjk,Raya Real,83941,0.58
380,afroswing,grime,uk hip hop,,,,,,,,,"afroswing,grime,uk hip hop",2a0uxJgbvvIRI4GX8pYfcr,J Hus,749027,0.7
381,canadian contemporary r&b,pop,,,,,,,,,,"canadian contemporary r&b,pop",20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,2424764,0.8
382,neo-singer-songwriter,tropical house,,,,,,,,,,"neo-singer-songwriter,tropical house",1g0fXhQMHAxlRyIBkCbuE7,Matt Simons,181445,0.69
383,latin,latin hip hop,latin pop,reggaeton,reggaeton flow,trap latino,tropical,,,,,"latin,latin hip hop,latin pop,reggaeton,reggaeton flow,trap latino,tropical",5fJsY7afrbsyzJj9wdzJMh,"Tito ""El Bambino""",2387857,0.72
384,latin alternative,spanish pop,,,,,,,,,,"latin alternative,spanish pop",7mUBMaZW1MXGswaneb0JTT,Macaco,366848,0.63
385,reggaeton,reggaeton flow,trap boricua,trap latino,trap triste,,,,,,,"reggaeton,reggaeton flow,trap boricua,trap latino,trap triste",5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,377284,0.79
386,flamenco urbano,pop flamenco,,,,,,,,,,"flamenco urbano,pop flamenco",6E94QKXZv8BbO6QQJxcxLI,Daviles de Novelda,87581,0.63
387,argentine hip hop,,,,,,,,,,,argentine hip hop,3wsYquQ9CiMlYG54BUR2ff,ZARAMAY,88048,0.66
388,irish rock,modern rock,neo mellow,permanent wave,pop rock,rock,,,,,,"irish rock,modern rock,neo mellow,permanent wave,pop rock,rock",3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,2157565,0.73
389,latin,latin hip hop,latin pop,pop reggaeton,reggaeton,reggaeton flow,trap latino,tropical,,,,"latin,latin hip hop,latin pop,pop reggaeton,reggaeton,reggaeton flow,trap latino,tropical",0GM7qgcRCORpGnfcN2tCiB,Tainy,277390,0.83
390,latin,latin hip hop,perreo,reggaeton,reggaeton flow,trap latino,tropical,,,,,"latin,latin hip hop,perreo,reggaeton,reggaeton flow,trap latino,tropical",00me4Ke1LsvMxt5kydlMyU,Cosculluela,3566605,0.76
391,,,,,,,,,,,,,5oOyEfGd8NxAKA41zGQhoj,Snova,3314,0.5
392,alternative r&b,melodic rap,pop rap,,,,,,,,,"alternative r&b,melodic rap,pop rap",7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,556896,0.79
393,latin,latin hip hop,latin pop,panamanian pop,pop reggaeton,reggaeton,trap latino,tropical,,,,"latin,latin hip hop,latin pop,panamanian pop,pop reggaeton,reggaeton,trap latino,tropical",3ATyg4fGC9F8trfb0GRWmX,Joey Montana,2124820,0.67
394,,,,,,,,,,,,,6VoRokuki5Bj7BEB2gZ3BF,Los Unidades,24283,0.38
395,latin,latin hip hop,latin pop,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,,,"latin,latin hip hop,latin pop,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",7hIqJfRYGBWWT1Qxu6Cpd2,Andy Rivera,1647404,0.68
396,,,,,,,,,,,,,2zmjYl582zO64LcLQtOEuv,Chrissy Costanza,30896,0.61
397,alternative metal,alternative rock,funk metal,funk rock,nu metal,pop rock,post-grunge,rock,,,,"alternative metal,alternative rock,funk metal,funk rock,nu metal,pop rock,post-grunge,rock",3YcBF2ttyueytpXtEzn1Za,Incubus,2469793,0.72
398,,,,,,,,,,,,,3aO2Q4cXKGxsh87bX4Oavo,KILATE TESLA,2570,0.46
399,latin viral pop,musica catalana,spanish pop,,,,,,,,,"latin viral pop,musica catalana,spanish pop",6X8uzem5Dbl4l2so4CeexD,Nil Moliner,118567,0.66
400,pop,,,,,,,,,,,pop,06HL4z0CvFAxyc27GXpf02,Taylor Swift,36362290,0.98
401,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",0WjgLcpQBKfPGI1vziiqnt,Operación Triunfo 2018,38158,0.35
402,adult standards,easy listening,vocal jazz,,,,,,,,,"adult standards,easy listening,vocal jazz",2lolQgalUvZDfp5vvVtTYV,Tony Bennett,605438,0.7
403,modern rock,rock,,,,,,,,,,"modern rock,rock",53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,32351805,0.89
404,latin,latin hip hop,latin pop,pop reggaeton,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,,"latin,latin hip hop,latin pop,pop reggaeton,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",3PAwspMN27PDm81WwXDsMf,Reykon,2241328,0.66
405,dance pop,hip pop,pop,pop dance,pop rap,post-teen pop,queens hip hop,,,,,"dance pop,hip pop,pop,pop dance,pop rap,post-teen pop,queens hip hop",0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,20192886,0.91
406,album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock,,,,,"album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock",4x1nvY2FN8jxqAFA0DA02H,John Lennon,3919506,0.77
407,k-pop,k-pop girl group,,,,,,,,,,"k-pop,k-pop girl group",41MozSoPIsD1dJM0CLPjZF,BLACKPINK,18787474,0.89
408,album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock,southern rock,,,"album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock,southern rock",4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,3212692,0.75
409,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",5L6WDyrviuO7HkNgMdDeCa,Rafa Romera,15694,0.43
410,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",6dvOnGc4bbTKOT12JJ2H6F,Maialen,19339,0.42
411,flamenco urbano,trap latino,urbano espanol,,,,,,,,,"flamenco urbano,trap latino,urbano espanol",0FwnPHExlRRxEZPLAi5tmG,JC Reyes,9422,0.6
412,pop,,,,,,,,,,,pop,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,28577594,0.89
413,cantautor,spanish indie pop,spanish pop,spanish rock,,,,,,,,"cantautor,spanish indie pop,spanish pop,spanish rock",1OxGzd3ks0V8CVWtXT1VMj,Sidecars,152676,0.6
414,canadian hip hop,hip hop,melodic rap,pop rap,rap,toronto rap,trap,,,,,"canadian hip hop,hip hop,melodic rap,pop rap,rap,toronto rap,trap",2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,3471765,0.85
415,conscious hip hop,dmv rap,hip hop,pop rap,rap,,,,,,,"conscious hip hop,dmv rap,hip hop,pop rap,rap",4xRYI6VqpkE3UwrDrAZL8L,Logic,5176642,0.83
416,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",4dwd5pUVuNVBvymNGls5dg,Nerea Rodríguez,63453,0.39
417,glam rock,mellow gold,piano rock,soft rock,,,,,,,,"glam rock,mellow gold,piano rock,soft rock",3PhoLpVuITZKcymswpck5b,Elton John,6524045,0.85
418,new french touch,tropical house,,,,,,,,,,"new french touch,tropical house",6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,838334,0.73
419,adult standards,canadian pop,jazz pop,lounge,,,,,,,,"adult standards,canadian pop,jazz pop,lounge",1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,4357511,0.85
420,latin viral pop,musica catalana,spanish pop,,,,,,,,,"latin viral pop,musica catalana,spanish pop",5gnF05YcUt010aB7EWk96U,Arnau Griso,122711,0.57
421,viral rap,,,,,,,,,,,viral rap,3O5HD95HTEPgoPFOjAb7yV,DripReport,86026,0.66
422,spanish pop,spanish pop rock,,,,,,,,,,"spanish pop,spanish pop rock",1EXjXQpDx2pROygh8zvHs4,Melendi,2454432,0.74
423,pop,post-teen pop,,,,,,,,,,"pop,post-teen pop",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,830228,0.9
424,rap espanol,urbano espanol,,,,,,,,,,"rap espanol,urbano espanol",3BCFlhrVzBKHbzBnWr13d9,Sebastián Cortés,14361,0.56
425,reggaeton,reggaeton flow,trap latino,,,,,,,,,"reggaeton,reggaeton flow,trap latino",03Enzet8KLMkjdeQnbqbmn,Pacho El Antifeka,79536,0.55
426,eurovision,ukrainian pop,,,,,,,,,,"eurovision,ukrainian pop",4nym9MDEPnWmPfuWwsyKeL,MÉLOVIN,16853,0.39
427,bachata,bachata dominicana,latin,latin hip hop,latin pop,trap latino,tropical,,,,,"bachata,bachata dominicana,latin,latin hip hop,latin pop,trap latino,tropical",1qto4hHid1P71emI6Fd8xi,Aventura,4336407,0.79
428,dance pop,edm,electro house,german dance,pop,pop dance,tropical house,,,,,"dance pop,edm,electro house,german dance,pop,pop dance,tropical house",4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,1075083,0.8
429,show tunes,,,,,,,,,,,show tunes,4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,410288,0.8
430,cubaton,latin,,,,,,,,,,"cubaton,latin",5luyt0SUvGkDMY4ILP6Qhl,Descemer Bueno,34898,0.67
431,europop,italian adult pop,latin,latin arena pop,latin pop,mexican pop,spanish pop,,,,,"europop,italian adult pop,latin,latin arena pop,latin pop,mexican pop,spanish pop",2e4nwiX8ZCU09LGLOpeqTH,Laura Pausini,1651060,0.73
432,latin,reggaeton,reggaeton flow,trap latino,tropical,,,,,,,"latin,reggaeton,reggaeton flow,trap latino,tropical",3fZk3Gm5dN5v5yfYMQ04Bx,Dímelo Flow,207734,0.79
433,colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,trap latino,,,,,,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,trap latino",07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,14465729,0.87
434,flamenco urbano,pop flamenco,rumba,spanish pop,,,,,,,,"flamenco urbano,pop flamenco,rumba,spanish pop",5QYdUMRHeBxlpJioqpIL0k,Sergio Contreras,197303,0.58
435,urbano espanol,,,,,,,,,,,urbano espanol,0jeYkqwckGJoHQhhXwgzk3,Cruz Cafuné,147331,0.66
436,edm,pop dance,tropical house,,,,,,,,,"edm,pop dance,tropical house",3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,216158,0.75
437,dance pop,electropop,pop,pop dance,post-teen pop,,,,,,,"dance pop,electropop,pop,pop dance,post-teen pop",4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,19799307,0.86
438,latin talent show,,,,,,,,,,,latin talent show,6DmtHRJCb22vH4IYQkwCRZ,Mireya Bravo,43750,0.35
439,latin,latin hip hop,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical,,,,,"latin,latin hip hop,reggaeton,reggaeton colombiano,reggaeton flow,trap latino,tropical",1RBzGO6Nm3uyhUSxP7EDWO,Kevin Roldan,3577353,0.77
440,latin viral pop,,,,,,,,,,,latin viral pop,2CQHyfluB4mliyv193Qn2L,David Rees,219200,0.57
441,trap latino,urbano espanol,,,,,,,,,,"trap latino,urbano espanol",3qiQUUvazYmo7tBgQeb2rf,Moonkey,62416,0.58
442,french indie pop,,,,,,,,,,,french indie pop,74eY8wbrhhVD7pACbBHwHw,Imany,202938,0.6
443,edm,progressive electro house,swedish pop,,,,,,,,,"edm,progressive electro house,swedish pop",4PVn1b2WnnXdq80C7uaZLZ,Nause,196348,0.52
444,contemporary country,country,country road,modern country rock,,,,,,,,"contemporary country,country,country road,modern country rock",0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,1240265,0.72
445,eurodance,,,,,,,,,,,eurodance,15NtJjjHRFybdNSMyM9smT,Nevada,13625,0.51
446,houston rap,pop,pop rap,trap queen,,,,,,,,"houston rap,pop,pop rap,trap queen",181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,3221929,0.89
447,dance pop,pop,pop dance,uk pop,,,,,,,,"dance pop,pop,pop dance,uk pop",6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,22479411,0.94
448,latin,latin arena pop,latin pop,spanish pop,spanish pop rock,tropical,,,,,,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock,tropical",5gOJTI4TusSENizxhcG7jB,David Bisbal,3025103,0.75
449,dance pop,hip hop,pop rap,rap,trap,,,,,,,"dance pop,hip hop,pop rap,rap,trap",5LHRHt1k9lMyONurDHEdrp,Tyga,6099139,0.87
450,trap latino,,,,,,,,,,,trap latino,7iK8PXO48WeuP03g8YR51W,Myke Towers,4227836,0.95
451,dance pop,neo mellow,pop,pop dance,pop rock,post-teen pop,talent show,urban contemporary,,,,"dance pop,neo mellow,pop,pop dance,pop rock,post-teen pop,talent show,urban contemporary",3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,7326126,0.81
452,latin,latin pop,latin viral pop,mexican pop,,,,,,,,"latin,latin pop,latin viral pop,mexican pop",5xSx2FM8mQnrfgM1QsHniB,Danna Paola,2184745,0.82
453,modern rock,rock,,,,,,,,,,"modern rock,rock",3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,19445710,0.85
454,dance pop,house,pop dance,tropical house,uk dance,,,,,,,"dance pop,house,pop dance,tropical house,uk dance",6DgP9otnZw5z6daOntINxp,Joel Corry,147472,0.82
455,australian dance,australian pop,dance pop,pop,pop dance,,,,,,,"australian dance,australian pop,dance pop,pop,pop dance",5WUlDfRSoLAfcVSX1WnrxN,Sia,18543316,0.91
456,dance pop,latin,latin pop,latin viral pop,pop,post-teen pop,rap latina,reggaeton,trap latino,,,"dance pop,latin,latin pop,latin viral pop,pop,post-teen pop,rap latina,reggaeton,trap latino",4obzFoKoKRHIphyHzJ35G3,Becky G,9762962,0.82
457,canadian pop,pop,post-teen pop,,,,,,,,,"canadian pop,pop,post-teen pop",1uNFoZAHBGtllmzznpCI3s,Justin Bieber,41975418,0.96
458,dance pop,pop,pop dance,post-teen pop,uk pop,,,,,,,"dance pop,pop,pop dance,post-teen pop,uk pop",5ZsFI1h6hIdQRw2ti0hz81,ZAYN,14359172,0.86
459,folk-pop,neo mellow,pop,,,,,,,,,"folk-pop,neo mellow,pop",0gadJ2b9A4SKsB1RFkBb66,Passenger,2711454,0.78
460,latin viral pop,,,,,,,,,,,latin viral pop,0D48D7HFC7NtWKftvsDIXq,Sweet California,264324,0.44
461,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",5gFFncjKaCnI9IkEs2POwj,Anaju,31360,0.49
462,contemporary country,pop,,,,,,,,,,"contemporary country,pop",7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,2076809,0.8
463,adult standards,contemporary vocal jazz,jazz pop,neo mellow,vocal jazz,,,,,,,"adult standards,contemporary vocal jazz,jazz pop,neo mellow,vocal jazz",2Kx7MNY7cI1ENniW7vT30N,Norah Jones,2427694,0.76
464,pop,uk pop,,,,,,,,,,"pop,uk pop",6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,75579460,0.93
465,latin,latin arena pop,latin pop,mexican pop,,,,,,,,"latin,latin arena pop,latin pop,mexican pop",0vR2qb8m9WHeZ5ByCbimq2,Reik,5342211,0.84
466,emo rap,miami hip hop,,,,,,,,,,"emo rap,miami hip hop",15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,24924896,0.93
467,electro house,pop nacional,slap house,,,,,,,,,"electro house,pop nacional,slap house",0NGAZxHanS9e0iNHpR8f2W,Alok,9473088,0.85
468,deep talent show,hollywood,movie tunes,,,,,,,,,"deep talent show,hollywood,movie tunes",0LyOADBjj28cbvJWTXUEGA,Loren Allred,81364,0.66
469,adult standards,vocal jazz,,,,,,,,,,"adult standards,vocal jazz",7v4imS0moSyGdXyLgVTIV7,Nat King Cole,1500992,0.77
470,latin pop,spanish pop,,,,,,,,,,"latin pop,spanish pop",6k8mwkKJKKjBILo7ypBspl,Ana Mena,299930,0.71
471,argentine hip hop,rap latina,reggaeton,trap argentino,trap latino,,,,,,,"argentine hip hop,rap latina,reggaeton,trap argentino,trap latino",6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,3072610,0.8
472,detroit hip hop,hip hop,rap,,,,,,,,,"detroit hip hop,hip hop,rap",7dGJo4pcD2V6oG8kP0tJRR,Eminem,41308573,0.94
473,spanish pop,spanish rock,,,,,,,,,,"spanish pop,spanish rock",4P9xDIEyrtAeXRI6xOl2TS,Pol 3.14,83193,0.51
474,,,,,,,,,,,,,25AUp7GPJ0ijNIPP8LDym1,Equinoxo,237,0.43
475,puerto rican pop,trap latino,,,,,,,,,,"puerto rican pop,trap latino",1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,3645210,0.93
476,cubaton,reggaeton,,,,,,,,,,"cubaton,reggaeton",0b2GL7Y02vu50qieoQmw1w,IAmChino,52793,0.59
477,post-teen pop,viral pop,,,,,,,,,,"post-teen pop,viral pop",3wjsrpfO6odEphTZWx45RQ,Hearts & Colors,112336,0.58
478,emo rap,miami hip hop,rap,trap,vapor trap,,,,,,,"emo rap,miami hip hop,rap,trap,vapor trap",3wyVrVrFCkukjdVIdirGVY,Lil Pump,7463503,0.75
479,dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,,,,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance",7CajNmpbOovFoOoasH2HaY,Calvin Harris,21150079,0.87
480,circuit,guaracha,,,,,,,,,,"circuit,guaracha",2TWBei99x2tV70bdYbWdAf,Dayvi,41471,0.67
481,rap,trap,,,,,,,,,,"rap,trap",7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,376655,0.76
482,adult standards,,,,,,,,,,,adult standards,38EmEgXkgK51MT2tPY0EoC,Bobby Helms,19483,0.71
483,musica para ninos,villancicos,,,,,,,,,,"musica para ninos,villancicos",0SONU0t2JRj0vEdRIUnkir,Grupo Infantil Guarderia Pon,5032,0.39
484,irish rock,permanent wave,rock,,,,,,,,,"irish rock,permanent wave,rock",51Blml2LZPmy7TTiAg47vQ,U2,7849763,0.82
485,,,,,,,,,,,,,6bYwWlhCzdXNlqFmwyZOTD,Demi Rasmussen,1,0.51
486,dembow,dominican pop,rap dominicano,trap latino,,,,,,,,"dembow,dominican pop,rap dominicano,trap latino",0odliLZMTk45CEVzF3Zocl,Mozart La Para,290824,0.65
487,latin talent show,,,,,,,,,,,latin talent show,2ZCMed7zvHPqwMcsYzYcGL,Anne Lukin,15581,0.48
488,funk,motown,soul,,,,,,,,,"funk,motown,soul",7GaxyUddsPok8BuhxN6OUW,James Brown,1648965,0.68
489,dembow,dominican pop,rap dominicano,,,,,,,,,"dembow,dominican pop,rap dominicano",05i5DIXDf4Ai4NEPEi3uBZ,Atomic Otro Way,87437,0.57
490,reggaeton,trap latino,,,,,,,,,,"reggaeton,trap latino",2kqUKsTuEj1lPbm6BSn1AU,Rich Music LTD,175592,0.73
491,,,,,,,,,,,,,18IljLvyzZzrZHfyLBFJoi,Torrebruno,557,0.19
492,irish rock,pop rock,,,,,,,,,,"irish rock,pop rock",7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,2327252,0.76
493,dance pop,edm,electro house,electropop,pop,pop dance,pop edm,pop rap,post-teen pop,tropical house,,"dance pop,edm,electro house,electropop,pop,pop dance,pop edm,pop rap,post-teen pop,tropical house",7DMveApC7UnC2NPfPvlHSU,Cheat Codes,1774453,0.79
494,pop flamenco,rumba,spanish pop,spanish pop rock,,,,,,,,"pop flamenco,rumba,spanish pop,spanish pop rock",6flBUmmOMLNhD4EJhGwgpG,Camela,261165,0.6
495,cantautor,latin arena pop,latin pop,musica aragonesa,spanish pop,spanish pop rock,spanish rock,,,,,"cantautor,latin arena pop,latin pop,musica aragonesa,spanish pop,spanish pop rock,spanish rock",4OkeTQCk0fvX6VBYpOOxDi,Amaral,525772,0.64
496,villancicos,,,,,,,,,,,villancicos,28ZyhV1nImNAzePTCOnyR7,"Papa Noel ""Villancicos""",5401,0.42
497,flamenco urbano,,,,,,,,,,,flamenco urbano,7E4MR6ZE2UbRDkycj6bQFo,Salcedo Leyry,1195,0.42
498,rap espanol,spanish pop,,,,,,,,,,"rap espanol,spanish pop",1aMt4A5jrQHxDYyC7rXgV0,Pol Granch,88902,0.59
