,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,genres_together,artist_id,Artist,artist_followers,artist_popularity
57,dance pop,edm,electro house,moombahton,pop,pop dance,pop rap,,,,,"dance pop,edm,electro house,moombahton,pop,pop dance,pop rap",738wLrAtLtCtFOLvQBXOXp,Major Lazer,6126702,0.81
58,jawaiian,,,,,,,,,,,jawaiian,7vPGzgDg3qGUY5bWtrO3K4,Conkarah,63111,0.64
59,latin alternative,latin rock,rock en espanol,,,,,,,,,"latin alternative,latin rock,rock en espanol",4uqzzJg3ww5eH7IgGV7DMT,Bunbury,1625351,0.73
60,flamenco urbano,trap latino,urbano espanol,,,,,,,,,"flamenco urbano,trap latino,urbano espanol",3lY9Fxceu60W1rbon7PkuF,Omar Montes,265167,0.71
61,r&b en espanol,spanish hip hop,trap latino,urbano espanol,,,,,,,,"r&b en espanol,spanish hip hop,trap latino,urbano espanol",2IMZYfNi21MGqxopj9fWx8,Rels B,2266604,0.82
62,,,,,,,,,,,,,66UIukhrbr70OyzyeDQ2sO,Yuawi,3761,0.28
63,,,,,,,,,,,,,0qMaXTy9PNkpddaWMF819n,Don Khumalo,200,0.04
64,british soul,dance pop,europop,pop,pop dance,post-teen pop,talent show,urban contemporary,,,,"british soul,dance pop,europop,pop,pop dance,post-teen pop,talent show,urban contemporary",5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,2622267,0.73
65,dembow,dominican pop,latin,rap dominicano,trap latino,tropical,,,,,,"dembow,dominican pop,latin,rap dominicano,trap latino,tropical",37UACiDcdzEYii0iU0QpAf,"Secreto ""El Famoso Biberon""",254273,0.62
66,latin talent show,latin viral pop,,,,,,,,,,"latin talent show,latin viral pop",55e3PARQefUOrTPIDTbURW,Roi Méndez,85536,0.42
67,cancion melodica,cantautor,pop romantico,spanish new wave,spanish pop,,,,,,,"cancion melodica,cantautor,pop romantico,spanish new wave,spanish pop",1TiGxAkU8w0xBCVFOP6Ttl,Duo Dinamico,124078,0.51
68,adult standards,easy listening,lounge,,,,,,,,,"adult standards,easy listening,lounge",49e4v89VmlDcFCMyDv9wQ9,Dean Martin,1031223,0.77
