,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
58,Scared To Live,The Weeknd,After Hours,2020-03-20,0.34081956741602937,0.7368421052631579,0.131,0.504,0.498,0.0,0.0929,0.7161882027765563,0.0695955369595537,0.196,0.41119287940146243,4,4BGZF4oLbTL0pWm7C18pbv,2020
59,Corazón Vendío,Mireya Bravo,Tu Reflejo,2018-06-22,0.32930188612289074,0.0,0.209,0.845,0.719,0.0,0.0522,0.8183302971292167,0.09302649930264993,0.526,0.4620987473894125,4,5oQ4VR5DlDyHcYUCFxM44I,2018
60,Solo Si Es Contigo - Operación Triunfo 2017,Alfred García,Solo Si Es Contigo (Operación Triunfo 2017),2018-01-09,0.29841728916410865,0.0,0.109,0.472,0.755,0.0,0.155,0.7691123814309945,0.09483960948396096,0.841,0.8246863759151789,4,20qW5svdEhxixETwwxntDb,2018
61,Sour Candy (with BLACKPINK),Lady Gaga,Chromatica,2020-05-29,0.2662973083269753,0.7578947368421053,0.0604,0.752,0.87,1.12e-05,0.489,0.855267290658961,0.08688981868898188,0.784,0.5657538056827128,4,1IWNylpZ477gIVUDpJL66u,2020
62,La quiero a morir (con Alejandro Sanz),Jarabe De Palo,La Quiero A Morir (con Alejandro Sanz),2011-03-01,0.3590664312709594,0.4842105263157895,0.553,0.387,0.588,5.7e-06,0.0943,0.8281299076575162,0.058716875871687585,0.155,0.8123205589368132,4,7g4rHuZ1CqfUqFjZMoVXoQ,2011
63,Yo Con Mi Man,Yung Sarria,B & W,2020-10-04,0.3745963377632676,0.6736842105263158,0.361,0.879,0.371,2.1e-05,0.313,0.587976631697971,0.48675034867503486,0.374,0.6746653969271676,4,72gC51qe5TmbkrcCMThAHw,2020
64,Les Duele,Morad,Les Duele,2020-01-31,0.35899323976649694,0.5789473684210527,0.154,0.765,0.785,0.0,0.202,0.8102895910547145,0.1492329149232915,0.822,0.603492412206471,4,3MGvNhxusgtZMVi1PqeTKh,2020
65,La Cintura,Alvaro Soler,Mar De Colores,2018-09-07,0.37043772955517307,0.0,0.0201,0.706,0.845,0.0,0.358,0.846158678308939,0.09651324965132496,0.742,0.47150864852887797,4,355kY0VYYf2AUOnUsU56Xq,2018
66,New Light,John Mayer,New Light,2018-05-10,0.3956200429390159,0.8,0.325,0.828,0.689,0.0384,0.0808,0.7275582637100321,0.04546722454672245,0.853,0.5842577445466417,4,3bH4HzoZZFq8UpZmI2AMgV,2018
67,Deséame Suerte,Vetusta Morla,Deséame Suerte,2017-10-26,0.42563299561738144,0.0,0.331,0.534,0.851,1.17e-06,0.136,0.7903448709089768,0.039051603905160395,0.399,0.4571863641292306,4,3iY760KcNEQMbyvFG3IgxS,2017
68,Dices Que Te Vas,KAROL G,OCEAN,2019-05-03,0.3646556007026384,0.631578947368421,0.861,0.506,0.287,0.0,0.605,0.6606256674414223,0.0896792189679219,0.57,0.6933720541022171,4,0QHOIQxRlIPYPJ1HLgIN8S,2019
69,Por Favor,Pitbull,Por Favor,2017-10-27,0.35803066058659666,0.0,0.209,0.752,0.761,2.64e-06,0.0625,0.8295747220302784,0.1291492329149233,0.697,0.4621270336653828,4,0Pki3Th0SL5rJ5e6ShUbJJ,2017
