,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
67,No Me Conoce - Remix,Jhay Cortez,Famouz,2019-05-24,0.20324743552248184,0.8,0.145,0.806,0.786,0.0,0.0935,0.8137295939723734,0.05870997047467635,0.58,0.2584184570982188,4,4R8BJggjosTswLxtkw8V7P,2019
68,Boss Bitch,Doja Cat,Boss Bitch,2020-01-23,0.07695996129363042,0.86,0.127,0.707,0.955,0.0,0.202,0.7871494349100042,0.2266636384283443,0.575,0.4612604876652534,4,78qd8dvwea0Gosb6Fe6j3k,2020
69,Are You Bored Yet? (feat. Clairo),Wallows,Nothing Happens,2019-03-22,0.10856125680159737,0.86,0.156,0.682,0.683,2.32e-05,0.273,0.7225826705734617,0.007154213036565977,0.64,0.4256844189222228,4,57RA3JGafJm5zRtKJiKPIm,2019
70,Que Tire Pa Lante,Daddy Yankee,Que Tire Pa Lante,2019-10-18,0.132045046704001,0.78,0.0478,0.658,0.901,0.0,0.12,0.8492046881540394,0.0151033386327504,0.708,0.27038050770139,4,6RyaV7owmVU6fzEPE17sF1,2019
71,BAD CON NICKY,Bad Bunny,LAS QUE NO IBAN A SALIR,2020-05-10,0.1260657791642746,0.8,0.321,0.59,0.729,0.0,0.659,0.7746965257429888,0.07597092891210538,0.712,0.26510313243528505,4,5bmSver2b3ZXyuyLKtgnFI,2020
72,Stuck with U (with Justin Bieber),Ariana Grande,Stuck with U,2020-05-08,0.14501601331614655,0.91,0.223,0.597,0.45,0.0,0.382,0.7151179014929537,0.02203043379513967,0.537,0.7759709476019248,3,4HBZA5flZLE435QTztThqH,2020
73,Keii,Anuel AA,Keii,2020-02-07,0.131669537148366,0.76,0.4,0.708,0.797,0.0,0.096,0.8394028184735594,0.018964342493754262,0.51,0.23481636523014723,4,5eEQCfq7MXQr6aHLNRUZLs,2020
74,Ignorantes,Bad Bunny,YHLQMDLG,2020-02-28,0.1321071502074329,0.78,0.267,0.85,0.536,3.89e-05,0.0996,0.7673364029580019,0.04258460140813082,0.505,0.28260493628389294,4,38RIEav39FGi86jppxO0du,2020
75,El Efecto - Remix,Rauw Alejandro,El Efecto (Remix),2019-12-13,0.18936658037168225,0.83,0.18,0.771,0.769,1.57e-05,0.345,0.8251360401841774,0.05337270043152396,0.931,0.7115929324913385,4,74j34STf8L6uADnTN69ohv,2019
76,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.12017822261217445,0.89,0.328,0.701,0.425,0.13,0.1,0.5648807032231059,0.40040881217351804,0.562,0.5157575865996409,4,2Fxmhks0bxGSBdJ92vM42m,2019
77,Don't Start Now,Dua Lipa,Future Nostalgia,2020-03-27,0.11238134439642256,0.86,0.0123,0.793,0.793,0.0,0.0951,0.7896609460025115,0.0688167158755394,0.679,0.44910165357758336,4,3PfIrDoz19wz7qK7tYeu62,2020
78,Rain On Me (with Ariana Grande),Lady Gaga,Rain On Me (with Ariana Grande),2020-05-22,0.11159421859711074,0.9,0.021,0.672,0.855,0.0,0.323,0.8160666945723455,0.01964569611628435,0.646,0.44377061008843327,4,24ySl2hOPGCDcxBxFIqWBu,2020
79,Adicto (with Anuel AA & Ozuna),Tainy,Adicto (with Anuel AA & Ozuna),2019-08-22,0.1755319417815762,0.82,0.017,0.734,0.836,1.64e-05,0.179,0.7798241942235244,0.058028616852146254,0.623,0.18703375731229535,4,3jbT1Y5MoPwEIpZndDDwVq,2019
80,Blanco,J Balvin,Blanco,2019-11-15,0.08530854970266143,0.75,0.0253,0.87,0.706,0.0063,0.0872,0.7591739919073531,0.1176470588235294,0.593,0.3063620696852061,4,2rc7BkzO8qepMFAxHtOrXc,2019
81,Bichiyal,Bad Bunny,YHLQMDLG,2020-02-28,0.12192073137707297,0.77,0.31,0.737,0.766,6.63e-06,0.114,0.7993930514859774,0.02657279127867363,0.662,0.27024335557583024,4,4j4w4CXm6BSr0s25wAWrrX,2020
82,Level of Concern,Twenty One Pilots,Level of Concern,2020-04-09,0.13892770357853385,0.8,0.32,0.754,0.583,0.00015,0.144,0.6913283103111483,0.023620258914376562,0.77,0.43754509621519766,4,6xZ4Q2k2ompmDppyeESIY8,2020
83,In Your Eyes,The Weeknd,After Hours,2020-03-20,0.15154265824658703,0.89,0.00285,0.667,0.719,8.1e-05,0.0736,0.7600111622715222,0.013854190324778559,0.717,0.30640977477235726,4,7szuecWAPwGoV1e5vGu8tl,2020
84,Soltera - Remix,Lunay,Soltera (Remix),2019-05-10,0.17217113125864303,0.78,0.361,0.795,0.783,0.0,0.437,0.798381470629273,0.023620258914376562,0.799,0.2586390931262933,4,1c0hsvHLELX6y8qymnpLKL,2019
85,Stayin' Alive,Various Artists,Staying Alive (Original Motion Picture Soundtrack),1977-12-13,0.04708312120654109,0.64,0.113,0.707,0.535,0.00615,0.0884,0.25694153760290217,0.024074494662729956,0.641,0.3280142161159711,4,4UDmDIqJIbrW0hMBQMFOsM,1977
86,Girl,Myke Towers,Easy Money Baby,2020-01-24,0.11464595587040588,0.78,0.0325,0.733,0.708,0.000327,0.324,0.7744523510534393,0.08096752214399273,0.694,0.2646678235150301,4,43NqTeL8pgBxKHPMiJKUP5,2020
87,Rebota,Guaynaa,Rebota,2018-12-14,0.12779167885267387,0.72,0.188,0.796,0.911,0.0,0.499,0.8776684805357889,0.29820576879400407,0.918,0.7840987018253158,4,2YRvdf9cdS88y1wB1WhKoE,2018
88,"Yo x Ti, Tu x Mi",ROSALÍA,"Yo x Ti, Tu x Mi",2019-08-15,0.1251992186512708,0.79,0.462,0.78,0.759,0.000868,0.143,0.8325310450676712,0.23007040654099475,0.579,0.2582932312444468,4,7BlBVFwvbWvcwNcUarQmjk,2019
89,Atrévete-Te-Te,Calle 13,Calle 13 (Explicit Version),2005,0.15283238914344105,0.73,0.0959,0.829,0.878,0.0,0.776,0.7397795451374354,0.0892573245514422,0.883,0.23467324996869351,4,1q8NdCAQ9QUjpYiqzdd3mv,2005
90,Ignorantes,Bad Bunny,Ignorantes,2020-02-14,0.1321071502074329,0.8,0.267,0.85,0.536,3.89e-05,0.0996,0.7673364029580019,0.04258460140813082,0.505,0.28260493628389294,4,3wYRLYuO1M88d8woWUIxct,2020
91,Dream Girl - Remix,Ir Sais,Dream Girl (Remix),2019-12-06,0.11899753391320675,0.84,0.216,0.767,0.643,0.000104,0.0806,0.7651039486535509,0.0892573245514422,0.536,0.7236444301329183,4,099tjv6oy2opbpCOA3nBwX,2019
