,Position,Track Name,Artist,Streams,date,spotify_id,year,Streamstotal,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,artist_id,artist_followers,artist_popularity
4770,152,¿Qué Ha Pasao'?,Abraham Mateo,40978,2020-04-10,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4771,151,¿Qué Ha Pasao'?,Abraham Mateo,41123,2020-04-11,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4772,149,¿Qué Ha Pasao'?,Abraham Mateo,39343,2020-04-12,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4773,144,¿Qué Ha Pasao'?,Abraham Mateo,40173,2020-04-13,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4774,142,¿Qué Ha Pasao'?,Abraham Mateo,41575,2020-04-14,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4775,152,¿Qué Ha Pasao'?,Abraham Mateo,38326,2020-04-15,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4776,149,¿Qué Ha Pasao'?,Abraham Mateo,39625,2020-04-16,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4777,165,¿Qué Ha Pasao'?,Abraham Mateo,38381,2020-04-17,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4778,154,¿Qué Ha Pasao'?,Abraham Mateo,39592,2020-04-18,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
4779,143,¿Qué Ha Pasao'?,Abraham Mateo,38099,2020-04-19,2zkVH2daHyjS51g7PRJFDn,2020,2553313,¿Qué Ha Pasao'?,2019-10-01,0.21062107011507888,0.72,0.315,0.648,0.752,0.0,0.201,0.8732636179179023,0.24654377880184336,0.405,0.840388229455649,4,latin,latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop,,,,2bxxlINUlcMQQb39K7IopR,1060356,72
